id,name,category,type,rarity,origin,value,image_url
1,Shadow Dragon,petsneons,Pet,Legendary,Halloween 2019 (Robux),285.0,https://adoptmetradingvalues.com/images/1.png
10,Diamond Unicorn,petsneons,Pet,Legendary,Diamond Egg,1.3,https://adoptmetradingvalues.com/images/10.png
100,Bandicoot,petsneons,Pet,Common,Aussie Egg,0.15,https://adoptmetradingvalues.com/images/100.png
101,Dilophosaurus,petsneons,Pet,Rare,Fossil Egg,0.15,https://adoptmetradingvalues.com/images/101.png
1017,Squid,petsneons,Pet,Legendary,RGB Reward Box,1.25,https://adoptmetradingvalues.com/images/1017.png
1018,Chameleon,petsneons,Pet,Legendary,RGB Reward Box,1.15,https://adoptmetradingvalues.com/images/1018.png
102,Pterodactyl,petsneons,Pet,Rare,Fossil Egg,0.15,https://adoptmetradingvalues.com/images/102.png
103,Woolly Mammoth,petsneons,Pet,Rare,Fossil Egg,0.15,https://adoptmetradingvalues.com/images/103.png
1030,Dancing Dragon,petsneons,Pet,Legendary,Lunar New Year 2022,3.25,https://adoptmetradingvalues.com/images/1030.png
1031,Lunar Tiger,petsneons,Pet,Rare,Lunar New Year 2022 (Lunar Tiger Box),0.08,https://adoptmetradingvalues.com/images/1031.png
1032,Lunar Gold Tiger,petsneons,Pet,Legendary,Lunar New Year 2022 (Lunar Tiger Box),0.5,https://adoptmetradingvalues.com/images/1032.png
1033,Lunar White Tiger,petsneons,Pet,Ultra-Rare,Lunar New Year 2022 (Lunar Tiger Box),0.15,https://adoptmetradingvalues.com/images/1033.png
104,Glyptodon,petsneons,Pet,Uncommon,Fossil Egg,0.2,https://adoptmetradingvalues.com/images/104.png
1045,Lavender Dragon,petsneons,Pet,Legendary,DJ Gamepass Compensation,2.15,https://adoptmetradingvalues.com/images/1045.png
1046,Abyssinian Cat,petsneons,Pet,Rare,Desert Weather Map,0.18,https://adoptmetradingvalues.com/images/1046.png
105,Red Panda,petsneons,Pet,Ultra-Rare,Retired Egg,0.08,https://adoptmetradingvalues.com/images/105.png
1057,Woodland Egg,petsneons,Pet,Legendary,Nursery,0.45,https://adoptmetradingvalues.com/images/1057.png
106,Shiba Inu,petsneons,Pet,Ultra-Rare,Retired Egg,0.08,https://adoptmetradingvalues.com/images/106.png
1065,Pine Marten,petsneons,Pet,Ultra-Rare,Woodland Egg,0.2,https://adoptmetradingvalues.com/images/1065.png
1066,Hawk,petsneons,Pet,Legendary,Woodland Egg,1.05,https://adoptmetradingvalues.com/images/1066.png
1067,Bullfrog,petsneons,Pet,Common,Woodland Egg,0.08,https://adoptmetradingvalues.com/images/1067.png
1068,Salamander,petsneons,Pet,Ultra-Rare,Woodland Egg,0.2,https://adoptmetradingvalues.com/images/1068.png
1069,Fallow Deer,petsneons,Pet,Legendary,Woodland Egg,1.6,https://adoptmetradingvalues.com/images/1069.png
107,Stegosaurus,petsneons,Pet,Uncommon,Fossil Egg,0.15,https://adoptmetradingvalues.com/images/107.png
1070,Red Cardinal,petsneons,Pet,Uncommon,Woodland Egg,0.1,https://adoptmetradingvalues.com/images/1070.png
1071,Red Fox,petsneons,Pet,Rare,Woodland Egg,0.2,https://adoptmetradingvalues.com/images/1071.png
1072,Woodpecker,petsneons,Pet,Rare,Woodland Egg,0.15,https://adoptmetradingvalues.com/images/1072.png
108,Triceratops,petsneons,Pet,Uncommon,Fossil Egg,0.18,https://adoptmetradingvalues.com/images/108.png
109,Beaver,petsneons,Pet,Rare,Retired Egg,0.04,https://adoptmetradingvalues.com/images/109.png
1093,Rock,petsneons,Pet,Uncommon,April Fools Day 2022,0.18,https://adoptmetradingvalues.com/images/1093.png
1094,Mechapup,petsneons,Pet,Legendary,Robux,5.2,https://adoptmetradingvalues.com/images/1094.png
1096,Sugar Glider,petsneons,Pet,Legendary,Easter 2022 (Robux),8.0,https://adoptmetradingvalues.com/images/1096.png
1097,Brown Springer Spaniel,petsneons,Pet,Ultra-Rare,Easter 2022,0.65,https://adoptmetradingvalues.com/images/1097.png
1098,Black Springer Spaniel,petsneons,Pet,Ultra-Rare,Easter 2022,1.0,https://adoptmetradingvalues.com/images/1098.png
11,Arctic Reindeer,petsneons,Pet,Legendary,Christmas 2019 (Christmas Egg),32.0,https://adoptmetradingvalues.com/images/11.png
110,Bunny,petsneons,Pet,Rare,Retired Egg,0.04,https://adoptmetradingvalues.com/images/110.png
111,Ground Sloth,petsneons,Pet,Common,Fossil Egg,0.13,https://adoptmetradingvalues.com/images/111.png
112,Rabbit,petsneons,Pet,Rare,Retired Egg,0.04,https://adoptmetradingvalues.com/images/112.png
113,Snow Puma,petsneons,Pet,Rare,Retired Egg,0.04,https://adoptmetradingvalues.com/images/113.png
